Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2551361818181.82,2719558417663.29,3104699879951.98,2945251838235.29,2429358155475.93,2496740681057.14,2675590034128.66,2719715961539.83,2796908333283.39,3085362169410.29,2945579890258.46,2706807606538.73,2699118387873.1,2897028009916.05,2875710080015.3,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08,3686033044482.13
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,13039199193000,13815586948000,14474226905000,14769857911000,14478064934000,15048964444000,15599728123000,16253972230000,16843190993000,17550680174000,18206020741000,18695110842000,19477336549000,20533057312000,21380976119000,21060473613000,23315080560000,25604848907611,27292170793214.4,28750956130731.2
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,5758250000,5446750000,5294750000,4418000000,9670750000,12047750000,14109000000,17123500000,19100750000,19505500000,19973250000,20559250000,51035657370.5179,34141666666.6667,33357695635.1284,31980334561.3123,41287673690.0771,40757561708.7741,35871779680.6335,41539411516.4448
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,145513489651.872,183477522123.894,230364012575.687,315953388510.678,329787628928.472,393192354510.653,316482190800.364,372592062768.06,258930655486.37,214689614732.719,125449241571.391,112915034262.314,115883275162.586,102021093964.682,73014084091.3,42838020721.1995,56614976854.5499,89013255584.7499,102376526555.948,119802963257.783
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1864982261286.85,1958563654385.64,2222524108127.65,2417508414187.19,2209484319012.65,2144936254535,2306974020278.21,2097929495121.68,2153225581941.46,2173255507985.84,1845428048839.1,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2104067630319.46,2316727999333.18,2380825077243.59
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,
