Country Name,Country Code,Time,Time Code,"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
United Kingdom,GBR,2005,YR2005,2.86399525809389
United Kingdom,GBR,2006,YR2006,3.07552591877121
United Kingdom,GBR,2007,YR2007,1.99341143170845
United Kingdom,GBR,2008,YR2008,3.30470549931354
United Kingdom,GBR,2009,YR2009,2.00745060148992
United Kingdom,GBR,2010,YR2010,1.3283713684016
United Kingdom,GBR,2011,YR2011,2.47595818739667
United Kingdom,GBR,2012,YR2012,1.54776864204749
United Kingdom,GBR,2013,YR2013,2.15708778775598
United Kingdom,GBR,2014,YR2014,1.5960156271688
United Kingdom,GBR,2015,YR2015,0.669172003330104
United Kingdom,GBR,2016,YR2016,1.73539354292218
United Kingdom,GBR,2017,YR2017,1.54252781517637
United Kingdom,GBR,2018,YR2018,1.96276612181809
United Kingdom,GBR,2019,YR2019,2.46133048824501
United Kingdom,GBR,2020,YR2020,4.84234085720969
United Kingdom,GBR,2021,YR2021,0.711756533859329
United Kingdom,GBR,2022,YR2022,5.67864204313082
United Kingdom,GBR,2023,YR2023,6.34491419212233
United Kingdom,GBR,2024,YR2024,3.62324909958238
United States,USA,2005,YR2005,3.13549555899142
United States,USA,2006,YR2006,3.08384885691085
United States,USA,2007,YR2007,2.70922136624263
United States,USA,2008,YR2008,1.92668919011163
United States,USA,2009,YR2009,0.616794207923618
United States,USA,2010,YR2010,1.21525703756249
United States,USA,2011,YR2011,2.0631285696588
United States,USA,2012,YR2012,1.86220422011765
United States,USA,2013,YR2013,1.47598650286378
United States,USA,2014,YR2014,1.63535305156384
United States,USA,2015,YR2015,0.765879740073601
United States,USA,2016,YR2016,0.85147588450198
United States,USA,2017,YR2017,1.68508382434676
United States,USA,2018,YR2018,2.3830537225445
United States,USA,2019,YR2019,1.50677251688072
United States,USA,2020,YR2020,0.67870182942977
United States,USA,2021,YR2021,4.38483807578484
United States,USA,2022,YR2022,7.12948085418195
United States,USA,2023,YR2023,3.59839135535658
United States,USA,2024,YR2024,2.48272509502563
Zimbabwe,ZWE,2005,YR2005,5.13953948336605
Zimbabwe,ZWE,2006,YR2006,-2.01808066101262
Zimbabwe,ZWE,2007,YR2007,0.895303625004345
Zimbabwe,ZWE,2008,YR2008,1.34839041135335
Zimbabwe,ZWE,2009,YR2009,93.2465132746917
Zimbabwe,ZWE,2010,YR2010,4.09763788642883
Zimbabwe,ZWE,2011,YR2011,2.55275253362885
Zimbabwe,ZWE,2012,YR2012,4.02892774689238
Zimbabwe,ZWE,2013,YR2013,9.37107509304518
Zimbabwe,ZWE,2014,YR2014,-0.251969595796098
Zimbabwe,ZWE,2015,YR2015,0.607377582545297
Zimbabwe,ZWE,2016,YR2016,2.16179137419846
Zimbabwe,ZWE,2017,YR2017,197.454659214138
Zimbabwe,ZWE,2018,YR2018,3.55405561951902
Zimbabwe,ZWE,2019,YR2019,397.173739446395
Zimbabwe,ZWE,2020,YR2020,585.972829117866
Zimbabwe,ZWE,2021,YR2021,108.772816795263
Zimbabwe,ZWE,2022,YR2022,274.458090484399
Zimbabwe,ZWE,2023,YR2023,768.477177864533
Zimbabwe,ZWE,2024,YR2024,1097.24667417729
"Venezuela, RB",VEN,2005,YR2005,29.6040593512978
"Venezuela, RB",VEN,2006,YR2006,17.9043155490636
"Venezuela, RB",VEN,2007,YR2007,15.448477757967
"Venezuela, RB",VEN,2008,YR2008,30.1324528534352
"Venezuela, RB",VEN,2009,YR2009,7.83166636002662
"Venezuela, RB",VEN,2010,YR2010,45.9432686985894
"Venezuela, RB",VEN,2011,YR2011,28.1491909528853
"Venezuela, RB",VEN,2012,YR2012,20.8953285694006
"Venezuela, RB",VEN,2013,YR2013,39.1175398450716
"Venezuela, RB",VEN,2014,YR2014,104.645786270251
"Venezuela, RB",VEN,2015,YR2015,135.531505046053
"Venezuela, RB",VEN,2016,YR2016,307.478007106374
"Venezuela, RB",VEN,2017,YR2017,1049.7472570657
"Venezuela, RB",VEN,2018,YR2018,225690.059917835
"Venezuela, RB",VEN,2019,YR2019,21922.7615438353
"Venezuela, RB",VEN,2020,YR2020,1890.39434223884
"Venezuela, RB",VEN,2021,YR2021,1208.54711473506
"Venezuela, RB",VEN,2022,YR2022,211.018233802245
"Venezuela, RB",VEN,2023,YR2023,367.889226487606
"Venezuela, RB",VEN,2024,YR2024,54.7195996964698
Italy,ITA,2005,YR2005,2.08420453015475
Italy,ITA,2006,YR2006,2.21589142791035
Italy,ITA,2007,YR2007,2.46674492041734
Italy,ITA,2008,YR2008,2.40459496845904
Italy,ITA,2009,YR2009,1.77253535397509
Italy,ITA,2010,YR2010,0.597839702916559
Italy,ITA,2011,YR2011,1.72878370885738
Italy,ITA,2012,YR2012,1.70237982317502
Italy,ITA,2013,YR2013,1.12578403623358
Italy,ITA,2014,YR2014,0.902550708834269
Italy,ITA,2015,YR2015,0.782776477740896
Italy,ITA,2016,YR2016,1.24817184167345
Italy,ITA,2017,YR2017,0.709821715080693
Italy,ITA,2018,YR2018,1.07058151640653
Italy,ITA,2019,YR2019,1.04700690430435
Italy,ITA,2020,YR2020,1.57740278796771
Italy,ITA,2021,YR2021,1.28332187292641
Italy,ITA,2022,YR2022,3.45535917134771
Italy,ITA,2023,YR2023,6.19726462122874
Italy,ITA,2024,YR2024,1.95492496299498
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2025,,,,
