Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,United Kingdom,GBR,36605.041787585,37973.6151931478,42710.9708799221,39510.5171466277,32299.4339401713,33571.1993119611,35752.9581965813,35513.3174807303,36079.9107190471,39528.2851525258,37457.2610323783,34106.7443843343,34113.8448899759,36165.9039331492,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,United States,USA,37454.4722469241,39721.62665009,40525.8197474918,40165.5509788941,39149.3111472822,41121.4835155995,42638.6496995193,44694.9383476126,45618.9320251633,47503.2640533693,48913.853095805,49368.5132965417,51237.7952460454,53580.8506695435,55301.012168174,53863.9016226739,58997.3355905177,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Zimbabwe,ZWE,223.828187719734,158.235946138245,119.859519413723,18.5252916266247,563.262076087007,701.696422576962,765.566001364165,938.185417387593,1082.23772931043,1055.12331604719,1069.74269166441,1071.23567610965,903.872574847463,1982.94353788302,1224.80394223146,1171.84883657955,1490.55030945387,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Venezuela, RB",VEN,4167.88558171369,5354.09895496264,6947.26595927638,9503.10700270624,9434.80058742693,11022.3598101917,8367.27537414705,9824.77146880208,9236.17042800221,11724.2845204019,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Italy,ITA,26970.7071797138,28211.9089055601,31664.0346196455,33583.5568799886,30476.9632151609,29345.0676095474,31334.4044340144,28253.6457649136,28906.2731774372,29286.5089146795,24739.6663310565,25769.1783329377,27107.1311099962,29028.9048415208,28011.1654797522,26185.7825880221,29681.5571261882,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,
