Country Name,Country Code,Time,Time Code,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD]
United Kingdom,GBR,2005,YR2005,36605.041787585
United Kingdom,GBR,2006,YR2006,37973.6151931478
United Kingdom,GBR,2007,YR2007,42710.9708799221
United Kingdom,GBR,2008,YR2008,39510.5171466277
United Kingdom,GBR,2009,YR2009,32299.4339401713
United Kingdom,GBR,2010,YR2010,33571.1993119611
United Kingdom,GBR,2011,YR2011,35752.9581965813
United Kingdom,GBR,2012,YR2012,35513.3174807303
United Kingdom,GBR,2013,YR2013,36079.9107190471
United Kingdom,GBR,2014,YR2014,39528.2851525258
United Kingdom,GBR,2015,YR2015,37457.2610323783
United Kingdom,GBR,2016,YR2016,34106.7443843343
United Kingdom,GBR,2017,YR2017,34113.8448899759
United Kingdom,GBR,2018,YR2018,36165.9039331492
United Kingdom,GBR,2019,YR2019,..
United Kingdom,GBR,2020,YR2020,..
United Kingdom,GBR,2021,YR2021,..
United Kingdom,GBR,2022,YR2022,..
United Kingdom,GBR,2023,YR2023,..
United Kingdom,GBR,2024,YR2024,..
United States,USA,2005,YR2005,37454.4722469241
United States,USA,2006,YR2006,39721.62665009
United States,USA,2007,YR2007,40525.8197474918
United States,USA,2008,YR2008,40165.5509788941
United States,USA,2009,YR2009,39149.3111472822
United States,USA,2010,YR2010,41121.4835155995
United States,USA,2011,YR2011,42638.6496995193
United States,USA,2012,YR2012,44694.9383476126
United States,USA,2013,YR2013,45618.9320251633
United States,USA,2014,YR2014,47503.2640533693
United States,USA,2015,YR2015,48913.853095805
United States,USA,2016,YR2016,49368.5132965417
United States,USA,2017,YR2017,51237.7952460454
United States,USA,2018,YR2018,53580.8506695435
United States,USA,2019,YR2019,55301.012168174
United States,USA,2020,YR2020,53863.9016226739
United States,USA,2021,YR2021,58997.3355905177
United States,USA,2022,YR2022,..
United States,USA,2023,YR2023,..
United States,USA,2024,YR2024,..
Zimbabwe,ZWE,2005,YR2005,223.828187719734
Zimbabwe,ZWE,2006,YR2006,158.235946138245
Zimbabwe,ZWE,2007,YR2007,119.859519413723
Zimbabwe,ZWE,2008,YR2008,18.5252916266247
Zimbabwe,ZWE,2009,YR2009,563.262076087007
Zimbabwe,ZWE,2010,YR2010,701.696422576962
Zimbabwe,ZWE,2011,YR2011,765.566001364165
Zimbabwe,ZWE,2012,YR2012,938.185417387593
Zimbabwe,ZWE,2013,YR2013,1082.23772931043
Zimbabwe,ZWE,2014,YR2014,1055.12331604719
Zimbabwe,ZWE,2015,YR2015,1069.74269166441
Zimbabwe,ZWE,2016,YR2016,1071.23567610965
Zimbabwe,ZWE,2017,YR2017,903.872574847463
Zimbabwe,ZWE,2018,YR2018,1982.94353788302
Zimbabwe,ZWE,2019,YR2019,1224.80394223146
Zimbabwe,ZWE,2020,YR2020,1171.84883657955
Zimbabwe,ZWE,2021,YR2021,1490.55030945387
Zimbabwe,ZWE,2022,YR2022,..
Zimbabwe,ZWE,2023,YR2023,..
Zimbabwe,ZWE,2024,YR2024,..
"Venezuela, RB",VEN,2005,YR2005,4167.88558171369
"Venezuela, RB",VEN,2006,YR2006,5354.09895496264
"Venezuela, RB",VEN,2007,YR2007,6947.26595927638
"Venezuela, RB",VEN,2008,YR2008,9503.10700270624
"Venezuela, RB",VEN,2009,YR2009,9434.80058742693
"Venezuela, RB",VEN,2010,YR2010,11022.3598101917
"Venezuela, RB",VEN,2011,YR2011,8367.27537414705
"Venezuela, RB",VEN,2012,YR2012,9824.77146880208
"Venezuela, RB",VEN,2013,YR2013,9236.17042800221
"Venezuela, RB",VEN,2014,YR2014,11724.2845204019
"Venezuela, RB",VEN,2015,YR2015,..
"Venezuela, RB",VEN,2016,YR2016,..
"Venezuela, RB",VEN,2017,YR2017,..
"Venezuela, RB",VEN,2018,YR2018,..
"Venezuela, RB",VEN,2019,YR2019,..
"Venezuela, RB",VEN,2020,YR2020,..
"Venezuela, RB",VEN,2021,YR2021,..
"Venezuela, RB",VEN,2022,YR2022,..
"Venezuela, RB",VEN,2023,YR2023,..
"Venezuela, RB",VEN,2024,YR2024,..
Italy,ITA,2005,YR2005,26970.7071797138
Italy,ITA,2006,YR2006,28211.9089055601
Italy,ITA,2007,YR2007,31664.0346196455
Italy,ITA,2008,YR2008,33583.5568799886
Italy,ITA,2009,YR2009,30476.9632151609
Italy,ITA,2010,YR2010,29345.0676095474
Italy,ITA,2011,YR2011,31334.4044340144
Italy,ITA,2012,YR2012,28253.6457649136
Italy,ITA,2013,YR2013,28906.2731774372
Italy,ITA,2014,YR2014,29286.5089146795
Italy,ITA,2015,YR2015,24739.6663310565
Italy,ITA,2016,YR2016,25769.1783329377
Italy,ITA,2017,YR2017,27107.1311099962
Italy,ITA,2018,YR2018,29028.9048415208
Italy,ITA,2019,YR2019,28011.1654797522
Italy,ITA,2020,YR2020,26185.7825880221
Italy,ITA,2021,YR2021,29681.5571261882
Italy,ITA,2022,YR2022,..
Italy,ITA,2023,YR2023,..
Italy,ITA,2024,YR2024,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2025,,,,
