Country Name,Country Code,Time,Time Code,"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
United Kingdom,GBR,2005,YR2005,4.884
United Kingdom,GBR,2006,YR2006,5.472
United Kingdom,GBR,2007,YR2007,5.399
United Kingdom,GBR,2008,YR2008,5.748
United Kingdom,GBR,2009,YR2009,7.683
United Kingdom,GBR,2010,YR2010,7.973
United Kingdom,GBR,2011,YR2011,8.195
United Kingdom,GBR,2012,YR2012,8.279
United Kingdom,GBR,2013,YR2013,7.752
United Kingdom,GBR,2014,YR2014,6.398
United Kingdom,GBR,2015,YR2015,5.552
United Kingdom,GBR,2016,YR2016,4.909
United Kingdom,GBR,2017,YR2017,4.501
United Kingdom,GBR,2018,YR2018,4.145
United Kingdom,GBR,2019,YR2019,3.657
United Kingdom,GBR,2020,YR2020,4.518
United Kingdom,GBR,2021,YR2021,4.864
United Kingdom,GBR,2022,YR2022,3.768
United Kingdom,GBR,2023,YR2023,4.025
United Kingdom,GBR,2024,YR2024,4.361
United States,USA,2005,YR2005,5.084
United States,USA,2006,YR2006,4.623
United States,USA,2007,YR2007,4.622
United States,USA,2008,YR2008,5.784
United States,USA,2009,YR2009,9.254
United States,USA,2010,YR2010,9.633
United States,USA,2011,YR2011,8.949
United States,USA,2012,YR2012,8.069
United States,USA,2013,YR2013,7.375
United States,USA,2014,YR2014,6.168
United States,USA,2015,YR2015,5.28
United States,USA,2016,YR2016,4.869
United States,USA,2017,YR2017,4.355
United States,USA,2018,YR2018,3.896
United States,USA,2019,YR2019,3.669
United States,USA,2020,YR2020,8.055
United States,USA,2021,YR2021,5.349
United States,USA,2022,YR2022,3.65
United States,USA,2023,YR2023,3.638
United States,USA,2024,YR2024,4.022
Zimbabwe,ZWE,2005,YR2005,..
Zimbabwe,ZWE,2006,YR2006,..
Zimbabwe,ZWE,2007,YR2007,..
Zimbabwe,ZWE,2008,YR2008,..
Zimbabwe,ZWE,2009,YR2009,..
Zimbabwe,ZWE,2010,YR2010,..
Zimbabwe,ZWE,2011,YR2011,5.368
Zimbabwe,ZWE,2012,YR2012,..
Zimbabwe,ZWE,2013,YR2013,..
Zimbabwe,ZWE,2014,YR2014,4.774
Zimbabwe,ZWE,2015,YR2015,..
Zimbabwe,ZWE,2016,YR2016,..
Zimbabwe,ZWE,2017,YR2017,..
Zimbabwe,ZWE,2018,YR2018,..
Zimbabwe,ZWE,2019,YR2019,7.373
Zimbabwe,ZWE,2020,YR2020,..
Zimbabwe,ZWE,2021,YR2021,9.459
Zimbabwe,ZWE,2022,YR2022,10.001
Zimbabwe,ZWE,2023,YR2023,9.29
Zimbabwe,ZWE,2024,YR2024,..
"Venezuela, RB",VEN,2005,YR2005,10.663
"Venezuela, RB",VEN,2006,YR2006,8.606
"Venezuela, RB",VEN,2007,YR2007,7.279
"Venezuela, RB",VEN,2008,YR2008,6.245
"Venezuela, RB",VEN,2009,YR2009,6.097
"Venezuela, RB",VEN,2010,YR2010,7.112
"Venezuela, RB",VEN,2011,YR2011,6.902
"Venezuela, RB",VEN,2012,YR2012,6.601
"Venezuela, RB",VEN,2013,YR2013,7.54
"Venezuela, RB",VEN,2014,YR2014,..
"Venezuela, RB",VEN,2015,YR2015,..
"Venezuela, RB",VEN,2016,YR2016,5.319
"Venezuela, RB",VEN,2017,YR2017,5.045
"Venezuela, RB",VEN,2018,YR2018,..
"Venezuela, RB",VEN,2019,YR2019,..
"Venezuela, RB",VEN,2020,YR2020,7.53
"Venezuela, RB",VEN,2021,YR2021,..
"Venezuela, RB",VEN,2022,YR2022,..
"Venezuela, RB",VEN,2023,YR2023,..
"Venezuela, RB",VEN,2024,YR2024,..
Italy,ITA,2005,YR2005,7.73
Italy,ITA,2006,YR2006,6.777
Italy,ITA,2007,YR2007,6.076
Italy,ITA,2008,YR2008,6.723
Italy,ITA,2009,YR2009,7.749
Italy,ITA,2010,YR2010,8.363
Italy,ITA,2011,YR2011,8.359
Italy,ITA,2012,YR2012,10.655
Italy,ITA,2013,YR2013,12.149
Italy,ITA,2014,YR2014,12.683
Italy,ITA,2015,YR2015,11.896
Italy,ITA,2016,YR2016,11.688
Italy,ITA,2017,YR2017,11.211
Italy,ITA,2018,YR2018,10.538
Italy,ITA,2019,YR2019,9.884
Italy,ITA,2020,YR2020,9.192
Italy,ITA,2021,YR2021,9.497
Italy,ITA,2022,YR2022,8.069
Italy,ITA,2023,YR2023,7.627
Italy,ITA,2024,YR2024,6.499
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2025,,,,
