Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD]
United Kingdom,GBR,2005,YR2005,2551361818181.82
United Kingdom,GBR,2006,YR2006,2719558417663.29
United Kingdom,GBR,2007,YR2007,3104699879951.98
United Kingdom,GBR,2008,YR2008,2945251838235.29
United Kingdom,GBR,2009,YR2009,2429358155475.93
United Kingdom,GBR,2010,YR2010,2496740681057.14
United Kingdom,GBR,2011,YR2011,2675590034128.66
United Kingdom,GBR,2012,YR2012,2719715961539.83
United Kingdom,GBR,2013,YR2013,2796908333283.39
United Kingdom,GBR,2014,YR2014,3085362169410.29
United Kingdom,GBR,2015,YR2015,2945579890258.46
United Kingdom,GBR,2016,YR2016,2706807606538.73
United Kingdom,GBR,2017,YR2017,2699118387873.1
United Kingdom,GBR,2018,YR2018,2897028009916.05
United Kingdom,GBR,2019,YR2019,2875710080015.3
United Kingdom,GBR,2020,YR2020,2724001478304.59
United Kingdom,GBR,2021,YR2021,3194559188925.93
United Kingdom,GBR,2022,YR2022,3181244350465.41
United Kingdom,GBR,2023,YR2023,3420796653789.08
United Kingdom,GBR,2024,YR2024,3686033044482.13
United States,USA,2005,YR2005,13039199193000
United States,USA,2006,YR2006,13815586948000
United States,USA,2007,YR2007,14474226905000
United States,USA,2008,YR2008,14769857911000
United States,USA,2009,YR2009,14478064934000
United States,USA,2010,YR2010,15048964444000
United States,USA,2011,YR2011,15599728123000
United States,USA,2012,YR2012,16253972230000
United States,USA,2013,YR2013,16843190993000
United States,USA,2014,YR2014,17550680174000
United States,USA,2015,YR2015,18206020741000
United States,USA,2016,YR2016,18695110842000
United States,USA,2017,YR2017,19477336549000
United States,USA,2018,YR2018,20533057312000
United States,USA,2019,YR2019,21380976119000
United States,USA,2020,YR2020,21060473613000
United States,USA,2021,YR2021,23315080560000
United States,USA,2022,YR2022,25604848907611
United States,USA,2023,YR2023,27292170793214.4
United States,USA,2024,YR2024,28750956130731.2
Zimbabwe,ZWE,2005,YR2005,5758250000
Zimbabwe,ZWE,2006,YR2006,5446750000
Zimbabwe,ZWE,2007,YR2007,5294750000
Zimbabwe,ZWE,2008,YR2008,4418000000
Zimbabwe,ZWE,2009,YR2009,9670750000
Zimbabwe,ZWE,2010,YR2010,12047750000
Zimbabwe,ZWE,2011,YR2011,14109000000
Zimbabwe,ZWE,2012,YR2012,17123500000
Zimbabwe,ZWE,2013,YR2013,19100750000
Zimbabwe,ZWE,2014,YR2014,19505500000
Zimbabwe,ZWE,2015,YR2015,19973250000
Zimbabwe,ZWE,2016,YR2016,20559250000
Zimbabwe,ZWE,2017,YR2017,51035657370.5179
Zimbabwe,ZWE,2018,YR2018,34141666666.6667
Zimbabwe,ZWE,2019,YR2019,33357695635.1284
Zimbabwe,ZWE,2020,YR2020,31980334561.3123
Zimbabwe,ZWE,2021,YR2021,41287673690.0771
Zimbabwe,ZWE,2022,YR2022,40757561708.7741
Zimbabwe,ZWE,2023,YR2023,35871779680.6335
Zimbabwe,ZWE,2024,YR2024,41539411516.4448
"Venezuela, RB",VEN,2005,YR2005,145513489651.872
"Venezuela, RB",VEN,2006,YR2006,183477522123.894
"Venezuela, RB",VEN,2007,YR2007,230364012575.687
"Venezuela, RB",VEN,2008,YR2008,315953388510.678
"Venezuela, RB",VEN,2009,YR2009,329787628928.472
"Venezuela, RB",VEN,2010,YR2010,393192354510.653
"Venezuela, RB",VEN,2011,YR2011,316482190800.364
"Venezuela, RB",VEN,2012,YR2012,372592062768.06
"Venezuela, RB",VEN,2013,YR2013,258930655486.37
"Venezuela, RB",VEN,2014,YR2014,214689614732.719
"Venezuela, RB",VEN,2015,YR2015,125449241571.391
"Venezuela, RB",VEN,2016,YR2016,112915034262.314
"Venezuela, RB",VEN,2017,YR2017,115883275162.586
"Venezuela, RB",VEN,2018,YR2018,102021093964.682
"Venezuela, RB",VEN,2019,YR2019,73014084091.3
"Venezuela, RB",VEN,2020,YR2020,42838020721.1995
"Venezuela, RB",VEN,2021,YR2021,56614976854.5499
"Venezuela, RB",VEN,2022,YR2022,89013255584.7499
"Venezuela, RB",VEN,2023,YR2023,102376526555.948
"Venezuela, RB",VEN,2024,YR2024,119802963257.783
Italy,ITA,2005,YR2005,1864982261286.85
Italy,ITA,2006,YR2006,1958563654385.64
Italy,ITA,2007,YR2007,2222524108127.65
Italy,ITA,2008,YR2008,2417508414187.19
Italy,ITA,2009,YR2009,2209484319012.65
Italy,ITA,2010,YR2010,2144936254535
Italy,ITA,2011,YR2011,2306974020278.21
Italy,ITA,2012,YR2012,2097929495121.68
Italy,ITA,2013,YR2013,2153225581941.46
Italy,ITA,2014,YR2014,2173255507985.84
Italy,ITA,2015,YR2015,1845428048839.1
Italy,ITA,2016,YR2016,1887111188176.93
Italy,ITA,2017,YR2017,1970720904584.71
Italy,ITA,2018,YR2018,2099435266458.67
Italy,ITA,2019,YR2019,2019606796583.53
Italy,ITA,2020,YR2020,1907481094079.23
Italy,ITA,2021,YR2021,2179207773596.09
Italy,ITA,2022,YR2022,2104067630319.46
Italy,ITA,2023,YR2023,2316727999333.18
Italy,ITA,2024,YR2024,2380825077243.59
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2025,,,,
