Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,United Kingdom,GBR,2.86399525809389,3.07552591877121,1.99341143170845,3.30470549931354,2.00745060148992,1.3283713684016,2.47595818739667,1.54776864204749,2.15708778775598,1.5960156271688,0.669172003330104,1.73539354292218,1.54252781517637,1.96276612181809,2.46133048824501,4.84234085720969,0.711756533859329,5.67864204313082,6.34491419212233,3.62324909958238
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,United States,USA,3.13549555899142,3.08384885691085,2.70922136624263,1.92668919011163,0.616794207923618,1.21525703756249,2.0631285696588,1.86220422011765,1.47598650286378,1.63535305156384,0.765879740073601,0.85147588450198,1.68508382434676,2.3830537225445,1.50677251688072,0.67870182942977,4.38483807578484,7.12948085418195,3.59839135535658,2.48272509502563
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Zimbabwe,ZWE,5.13953948336605,-2.01808066101262,0.895303625004345,1.34839041135335,93.2465132746917,4.09763788642883,2.55275253362885,4.02892774689238,9.37107509304518,-0.251969595796098,0.607377582545297,2.16179137419846,197.454659214138,3.55405561951902,397.173739446395,585.972829117866,108.772816795263,274.458090484399,768.477177864533,1097.24667417729
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Venezuela, RB",VEN,29.6040593512978,17.9043155490636,15.448477757967,30.1324528534352,7.83166636002662,45.9432686985894,28.1491909528853,20.8953285694006,39.1175398450716,104.645786270251,135.531505046053,307.478007106374,1049.7472570657,225690.059917835,21922.7615438353,1890.39434223884,1208.54711473506,211.018233802245,367.889226487606,54.7195996964698
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Italy,ITA,2.08420453015475,2.21589142791035,2.46674492041734,2.40459496845904,1.77253535397509,0.597839702916559,1.72878370885738,1.70237982317502,1.12578403623358,0.902550708834269,0.782776477740896,1.24817184167345,0.709821715080693,1.07058151640653,1.04700690430435,1.57740278796771,1.28332187292641,3.45535917134771,6.19726462122874,1.95492496299498
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,
